Crop,Season,Area,Fertilizer,Temperature,rainfall,yeild
urad,kharif,2580.0,369.0,27.0,71.0,3.88
arhar/tur,kharif,15.0,2.0,30.0,135.0,1.33
bajra,kharif,203.0,29.0,25.0,135.0,5.57
coriander,rabi,136.0,19.0,30.0,135.0,1.4
cotton lint,kharif,45.0,6.0,29.0,135.0,4.67
dry chillies,kharif,640.0,91.0,34.0,135.0,3.11
garlic,rabi,4036.0,577.0,38.0,135.0,3.09
gram,rabi,728.0,104.0,33.0,135.0,3.98
groundnut,kharif,81.0,11.0,32.0,135.0,8.15
horse-gram,kharif,2238.0,320.0,36.0,135.0,3.88
linseed,rabi,695.0,99.0,39.0,135.0,2.13
masoor,rabi,661.0,94.0,16.0,135.0,3.25
moong green gram,kharif,109.0,15.0,34.0,135.0,4.13
moth,kharif,23.0,3.0,38.0,135.0,3.04
peas and beans  pulses,kharif,887.0,126.0,26.0,135.0,12.58
peas and beans  pulses,rabi,8395.0,1200.0,32.0,135.0,13.65
ragi,kharif,2273.0,325.0,20.0,135.0,10.74
sesamum,kharif,3307.0,473.0,39.0,135.0,3.51
small millets,kharif,5890.0,842.0,15.0,135.0,7.29
soyabean,kharif,738.0,105.0,17.0,135.0,16.73
turmeric,kharif,208.0,29.0,26.0,135.0,5.29
castor seed,kharif,1420.0,203.0,30.0,89.0,3.55
horse-gram,rabi,193.0,27.0,24.0,89.0,2.8
jowar,rabi,2641.0,377.0,35.0,89.0,12.03
ragi,kharif,444.0,63.0,27.0,89.0,3.11
safflower,rabi,260.0,37.0,33.0,89.0,2.19
sannhamp,kharif,4427.0,633.0,25.0,89.0,3.41
sunflower,kharif,395.0,56.0,17.0,89.0,4.41
tobacco,whole year,229.0,32.0,24.0,89.0,4.02
turmeric,whole year,657.0,93.0,19.0,89.0,8.86
urad,rabi,5998.0,857.0,23.0,89.0,3.38
rapeseed andmustard,rabi,6200.0,886.0,23.0,105.0,3.39
sesamum,rabi,1700.0,243.0,33.0,105.0,4.12
small millets,rabi,5100.0,729.0,19.0,105.0,5.29
sunflower,summer,5800.0,829.0,20.0,105.0,9.31
arhar/tur,kharif,525.0,75.0,39.0,113.0,11.18
cowpea lobia,kharif,948.0,135.0,35.0,113.0,10.75
gram,rabi,548.0,78.0,25.0,113.0,8.34
groundnut,kharif,3217.0,460.0,22.0,113.0,7.28
maize,rabi,2250.0,321.0,26.0,113.0,13.91
masoor,rabi,455.0,65.0,36.0,113.0,8.29
moong green gram,kharif,431.0,61.0,30.0,113.0,11.0
soyabean,kharif,4983.0,712.0,38.0,113.0,7.64
urad,kharif,1487.0,212.0,22.0,113.0,10.82
wheat,rabi,2050.0,293.0,28.0,113.0,24.98
arhar/tur,kharif,3160.0,452.0,23.0,154.0,9.59
cardamom,kharif,800.0,114.0,29.0,154.0,1.88
cotton lint,kharif,110.0,15.0,29.0,154.0,5.45
dry chillies,kharif,2500.0,357.0,39.0,154.0,12.52
gram,rabi,250.0,35.0,40.0,154.0,8.0
groundnut,kharif,740.0,105.0,16.0,154.0,10.0
jowar,kharif,140.0,20.0,25.0,154.0,9.29
jute,kharif,2500.0,357.0,24.0,154.0,18.08
linseed,rabi,5670.0,811.0,37.0,154.0,7.69
maize,rabi,1200.0,171.0,22.0,154.0,18.0
masoor,rabi,1260.0,180.0,22.0,154.0,6.98
moong green gram,kharif,400.0,57.0,25.0,154.0,6.25
peas and beans  pulses,kharif,2140.0,306.0,27.0,154.0,13.97
peas and beans  pulses,rabi,6420.0,918.0,22.0,154.0,13.8
sesamum,kharif,4800.0,686.0,22.0,154.0,6.0
sunflower,kharif,300.0,42.0,21.0,154.0,8.0
turmeric,kharif,800.0,114.0,36.0,154.0,45.0
urad,rabi,260.0,37.0,34.0,154.0,6.92
wheat,rabi,1380.0,197.0,24.0,154.0,15.0
arhar/tur,kharif,5900.0,843.0,28.0,69.0,9.66
bajra,kharif,5000.0,715.0,34.0,69.0,10.0
gram,rabi,2900.0,414.0,35.0,69.0,11.72
groundnut,kharif,2700.0,386.0,22.0,69.0,9.26
jowar,kharif,100.0,14.0,29.0,69.0,10.0
linseed,rabi,100.0,14.0,37.0,69.0,10.0
masoor,rabi,1100.0,157.0,32.0,69.0,5.45
peas and beans  pulses,rabi,2000.0,286.0,40.0,69.0,11.5
sesamum,kharif,8300.0,1187.0,39.0,69.0,3.37
urad,kharif,2900.0,414.0,35.0,69.0,4.83
arhar/tur,kharif,988.0,141.0,16.0,182.0,7.28
cotton lint,kharif,969.0,138.0,25.0,182.0,14.7
gram,rabi,91.0,13.0,15.0,182.0,9.67
groundnut,kharif,291.0,41.0,25.0,182.0,10.72
groundnut,rabi,195.0,27.0,26.0,182.0,11.69
maize,kharif,2093.0,299.0,20.0,182.0,9.78
masoor,rabi,352.0,50.0,30.0,182.0,7.61
moong green gram,kharif,389.0,55.0,31.0,182.0,5.24
moong green gram,rabi,218.0,31.0,16.0,182.0,6.19
peas and beans  pulses,rabi,599.0,85.0,33.0,182.0,8.25
rapeseed andmustard,rabi,1588.0,227.0,20.0,182.0,7.49
sesamum,kharif,1392.0,199.0,24.0,182.0,5.6
urad,kharif,716.0,102.0,30.0,182.0,6.45
urad,rabi,336.0,48.0,23.0,182.0,6.76
wheat,rabi,635.0,90.0,18.0,182.0,18.82
coriander,rabi,5662.0,809.0,21.0,89.0,5.97
cotton lint,kharif,3556.0,508.0,28.0,89.0,2.2
guar seed,kharif,2460.0,351.0,31.0,89.0,8.4
maize,rabi,3617.0,517.0,29.0,89.0,26.25
sannhamp,kharif,2889.0,413.0,22.0,89.0,3.2
tobacco,summer,546.0,78.0,31.0,89.0,22.71
arhar/tur,kharif,2383.0,340.0,18.0,136.0,7.18
bajra,kharif,20.0,2.0,29.0,136.0,9.5
gram,rabi,683.0,97.0,24.0,136.0,4.77
groundnut,kharif,1355.0,193.0,37.0,136.0,13.25
maize,summer,92.0,13.0,35.0,136.0,16.3
moong green gram,kharif,56.0,8.0,34.0,136.0,4.46
moth,kharif,343.0,49.0,20.0,136.0,3.5
onion,whole year,1869.0,267.0,29.0,136.0,42.38
peas and beans  pulses,rabi,3516.0,502.0,20.0,136.0,4.28
sesamum,kharif,2228.0,318.0,18.0,136.0,2.15
soyabean,kharif,8328.0,1191.0,37.0,136.0,12.17
sunflower,kharif,37.0,5.0,31.0,136.0,9.46
tobacco,whole year,11.0,1.0,38.0,136.0,35.45
turmeric,whole year,215.0,30.0,24.0,136.0,20.14
urad,summer,203.0,29.0,40.0,136.0,6.35
arhar/tur,rabi,22.0,3.0,34.0,139.0,5.45
garlic,rabi,604.0,86.0,39.0,139.0,8.54
gram,rabi,284.0,40.0,34.0,139.0,5.46
linseed,rabi,126.0,18.0,17.0,139.0,7.7
masoor,rabi,81.0,11.0,24.0,139.0,4.69
onion,rabi,383.0,54.0,33.0,139.0,24.33
peas and beans  pulses,rabi,1109.0,158.0,40.0,139.0,10.06
urad,rabi,11.0,1.0,25.0,139.0,4.55
arhar/tur,winter,899.14,128.0,18.0,129.0,16.0
onion,rabi,3049.28,436.0,34.0,129.0,50.7
bajra,kharif,2951.0,459.0,36.0,88.0,11.11
jowar,kharif,1627.0,253.0,26.0,88.0,10.37
sannhamp,kharif,1903.0,296.0,17.0,88.0,8.15
small millets,kharif,3123.0,486.0,20.0,88.0,7.68
bajra,kharif,70.0,10.0,33.0,95.0,2.86
barley,rabi,3019.0,470.0,25.0,95.0,7.65
castor seed,kharif,64.0,9.0,18.0,95.0,2.81
coriander,whole year,3146.0,490.0,36.0,95.0,2.73
dry chillies,whole year,6084.0,948.0,33.0,95.0,6.99
garlic,whole year,990.0,154.0,15.0,95.0,25.44
ginger,whole year,1780.0,277.0,17.0,95.0,10.0
horse-gram,rabi,2169.0,337.0,17.0,95.0,2.6
jowar,kharif,5647.0,879.0,23.0,95.0,12.16
mesta,kharif,1260.0,196.0,31.0,95.0,17.24
moong green gram,rabi,7089.0,1104.0,26.0,95.0,2.25
onion,whole year,5013.0,781.0,27.0,95.0,45.73
safflower,rabi,847.0,131.0,34.0,95.0,2.85
sannhamp,whole year,1532.0,238.0,35.0,95.0,3.18
sugarcane,whole year,6788.0,1057.0,29.0,95.0,52.09
sunflower,kharif,4523.0,704.0,30.0,95.0,1.3
tobacco,whole year,22.0,3.0,34.0,95.0,5.0
turmeric,whole year,906.0,141.0,34.0,95.0,8.45
urad,rabi,4512.0,703.0,16.0,95.0,2.52
castor seed,kharif,1012.0,157.0,31.0,39.0,10.87
coriander,whole year,378.0,58.0,23.0,39.0,15.87
dry chillies,whole year,908.0,141.0,34.0,39.0,15.42
groundnut,kharif,1729.0,269.0,29.0,39.0,9.25
horse-gram,kharif,436.0,67.0,40.0,39.0,2.29
masoor,rabi,4646.0,723.0,22.0,39.0,7.75
moth,kharif,2789.0,434.0,32.0,39.0,2.51
peas and beans  pulses,rabi,1651.0,257.0,37.0,39.0,9.69
sesamum,kharif,2990.0,465.0,40.0,39.0,4.01
sunflower,rabi,6189.0,964.0,23.0,39.0,17.94
urad,kharif,2964.0,461.0,37.0,39.0,3.71
arhar/tur,kharif,12.0,1.0,39.0,96.0,2.5
bajra,kharif,213.0,33.0,23.0,96.0,4.98
coriander,rabi,120.0,18.0,16.0,96.0,5.5
cotton lint,kharif,8.0,1.0,16.0,96.0,2.5
dry chillies,kharif,603.0,93.0,36.0,96.0,5.27
garlic,rabi,4860.0,757.0,28.0,96.0,17.47
ginger,kharif,2488.0,387.0,31.0,96.0,46.7
gram,rabi,604.0,94.0,25.0,96.0,5.1
groundnut,kharif,195.0,30.0,17.0,96.0,6.62
horse-gram,kharif,2005.0,312.0,23.0,96.0,2.99
linseed,rabi,1415.0,220.0,31.0,96.0,2.51
masoor,rabi,704.0,109.0,28.0,96.0,3.89
moong green gram,kharif,225.0,35.0,25.0,96.0,4.62
peas and beans  pulses,kharif,817.0,127.0,23.0,96.0,9.16
ragi,kharif,2208.0,344.0,34.0,96.0,9.53
sesamum,kharif,2773.0,432.0,35.0,96.0,0.84
small millets,kharif,4937.0,769.0,27.0,96.0,3.59
soyabean,kharif,550.0,85.0,16.0,96.0,7.82
turmeric,kharif,194.0,30.0,24.0,96.0,5.67
castor seed,kharif,6700.0,1043.0,35.0,100.0,2.24
rapeseed andmustard,rabi,5800.0,903.0,37.0,100.0,3.86
sesamum,rabi,2500.0,389.0,25.0,100.0,2.0
small millets,rabi,5300.0,825.0,26.0,100.0,5.28
sunflower,summer,5100.0,794.0,26.0,100.0,10.59
arhar/tur,kharif,168.0,26.0,30.0,99.0,8.87
cowpea lobia,kharif,185.0,28.0,39.0,99.0,8.49
gram,rabi,1848.0,287.0,37.0,99.0,8.57
groundnut,kharif,475.0,74.0,18.0,99.0,5.89
masoor,rabi,1413.0,220.0,21.0,99.0,8.46
moong green gram,kharif,190.0,29.0,22.0,99.0,8.16
soyabean,kharif,565.0,88.0,33.0,99.0,6.02
urad,kharif,361.0,56.0,31.0,99.0,8.23
arhar/tur,kharif,3000.0,467.0,30.0,122.0,7.03
bajra,kharif,1000.0,155.0,37.0,122.0,6.9
barley,rabi,500.0,77.0,26.0,122.0,14.0
castor seed,kharif,650.0,101.0,22.0,122.0,5.08
cotton lint,kharif,90.0,14.0,35.0,122.0,4.44
gram,rabi,570.0,88.0,31.0,122.0,7.02
groundnut,kharif,700.0,109.0,25.0,122.0,7.86
jowar,kharif,240.0,37.0,35.0,122.0,4.17
jute,kharif,1250.0,194.0,39.0,122.0,15.68
maize,rabi,5000.0,779.0,25.0,122.0,15.0
masoor,rabi,1910.0,297.0,31.0,122.0,7.12
mesta,kharif,2000.0,311.0,39.0,122.0,10.0
moong green gram,kharif,620.0,96.0,25.0,122.0,9.03
peas and beans  pulses,kharif,2050.0,319.0,38.0,122.0,10.98
peas and beans  pulses,rabi,6800.0,1059.0,36.0,122.0,10.0
ragi,kharif,350.0,54.0,17.0,122.0,6.86
sesamum,kharif,3000.0,467.0,30.0,122.0,5.07
sunflower,kharif,200.0,31.0,17.0,122.0,6.0
sunflower,rabi,1840.0,286.0,23.0,122.0,8.97
urad,kharif,300.0,46.0,15.0,122.0,6.67
urad,rabi,470.0,73.0,37.0,122.0,7.45
wheat,rabi,2010.0,313.0,19.0,122.0,11.99
arhar/tur,kharif,4600.0,716.0,39.0,37.0,9.57
bajra,kharif,3000.0,467.0,28.0,37.0,13.33
gram,rabi,3000.0,467.0,18.0,37.0,11.33
groundnut,kharif,2500.0,389.0,20.0,37.0,12.4
jowar,kharif,100.0,15.0,30.0,37.0,10.0
masoor,rabi,1100.0,171.0,27.0,37.0,6.36
moong green gram,kharif,7000.0,1090.0,17.0,37.0,9.14
peas and beans  pulses,rabi,1600.0,249.0,31.0,37.0,11.25
sesamum,kharif,7000.0,1090.0,38.0,37.0,3.71
urad,kharif,2800.0,436.0,36.0,37.0,5.0
arhar/tur,kharif,987.0,153.0,27.0,200.0,7.25
cotton lint,kharif,965.0,150.0,35.0,200.0,14.89
gram,rabi,121.0,18.0,29.0,200.0,7.52
groundnut,kharif,236.0,36.0,24.0,200.0,10.85
groundnut,rabi,187.0,29.0,24.0,200.0,11.12
maize,kharif,2018.0,314.0,17.0,200.0,10.06
masoor,rabi,324.0,50.0,33.0,200.0,6.64
moong green gram,kharif,398.0,62.0,18.0,200.0,5.58
moong green gram,rabi,230.0,35.0,37.0,200.0,5.7
peas and beans  pulses,rabi,724.0,112.0,37.0,200.0,7.43
rapeseed andmustard,rabi,1495.0,232.0,28.0,200.0,7.67
sesamum,kharif,1532.0,238.0,17.0,200.0,5.7
urad,kharif,764.0,119.0,19.0,200.0,6.05
urad,rabi,325.0,50.0,27.0,200.0,6.28
wheat,rabi,667.0,103.0,16.0,200.0,19.84
coriander,rabi,6461.0,1006.0,38.0,58.0,5.68
cotton lint,kharif,4971.0,774.0,24.0,58.0,1.69
ginger,kharif,786.0,122.0,38.0,58.0,30.03
guar seed,kharif,2539.0,395.0,20.0,58.0,8.35
maize,rabi,4636.0,722.0,35.0,58.0,30.55
sannhamp,kharif,1813.0,282.0,39.0,58.0,1.84
small millets,kharif,6951.0,1083.0,17.0,58.0,5.09
soyabean,kharif,7169.0,1117.0,30.0,58.0,10.55
sunflower,summer,7093.0,1105.0,37.0,58.0,21.99
tobacco,summer,534.0,83.0,26.0,58.0,42.75
turmeric,rabi,1315.0,204.0,18.0,58.0,33.05
arhar/tur,kharif,1931.0,300.0,21.0,84.0,6.84
gram,rabi,528.0,82.0,37.0,84.0,7.22
groundnut,kharif,1369.0,213.0,19.0,84.0,13.89
maize,rabi,63.0,9.0,27.0,84.0,16.35
moong green gram,kharif,8.0,1.0,21.0,84.0,7.5
moong green gram,rabi,8.0,1.0,23.0,84.0,7.5
moth,kharif,18.0,2.0,32.0,84.0,3.89
onion,whole year,2158.0,336.0,31.0,84.0,42.68
peas and beans  pulses,rabi,5504.0,857.0,26.0,84.0,10.0
sesamum,kharif,1959.0,305.0,40.0,84.0,2.04
tobacco,whole year,11.0,1.0,28.0,84.0,6.36
turmeric,whole year,155.0,24.0,19.0,84.0,9.61
urad,rabi,207.0,32.0,19.0,84.0,5.46
arhar/tur,winter,441.0,68.0,24.0,99.0,17.32
masoor,rabi,5904.0,919.0,16.0,99.0,11.08
onion,rabi,2948.0,459.0,32.0,99.0,43.68
arhar/tur,rabi,755.0,117.0,35.0,131.0,7.71
bajra,kharif,53.0,8.0,17.0,131.0,4.34
barley,rabi,1749.0,272.0,19.0,131.0,13.45
castor seed,kharif,60.0,9.0,27.0,131.0,5.83
cotton lint,kharif,1289.0,200.0,31.0,131.0,25.31
groundnut,autumn,2058.0,320.0,27.0,131.0,9.16
horse-gram,rabi,1863.0,290.0,37.0,131.0,5.02
jowar,kharif,1479.0,230.0,29.0,131.0,4.27
linseed,rabi,4715.0,734.0,31.0,131.0,2.95
moong green gram,kharif,2055.0,320.0,28.0,131.0,8.36
moong green gram,rabi,1677.0,261.0,30.0,131.0,6.54
niger seed,kharif,3658.0,569.0,30.0,131.0,6.57
safflower,rabi,590.0,91.0,19.0,131.0,9.15
sesamum,autumn,1041.0,162.0,16.0,131.0,6.4
sesamum,winter,1292.0,201.0,19.0,131.0,6.14
small millets,kharif,1194.0,186.0,18.0,131.0,8.38
small millets,rabi,520.0,81.0,20.0,131.0,15.96
soyabean,kharif,551.0,85.0,28.0,131.0,6.03
urad,rabi,7009.0,1092.0,16.0,131.0,7.93
castor seed,whole year,1361.0,212.0,19.0,90.0,3.53
cowpea lobia,kharif,2992.0,466.0,19.0,90.0,3.58
cowpea lobia,rabi,680.0,105.0,38.0,90.0,3.4
ginger,whole year,7797.0,1214.0,24.0,90.0,12.4
horse-gram,rabi,171.0,26.0,19.0,90.0,3.27
jowar,rabi,3624.0,564.0,26.0,90.0,12.93
mesta,whole year,731.0,113.0,16.0,90.0,3.24
moong green gram,rabi,2534.0,394.0,37.0,90.0,2.57
ragi,whole year,382.0,59.0,19.0,90.0,3.14
safflower,whole year,409.0,63.0,26.0,90.0,2.98
sannhamp,whole year,4188.0,652.0,19.0,90.0,3.51
small millets,rabi,595.0,92.0,22.0,90.0,3.38
sunflower,whole year,202.0,31.0,30.0,90.0,4.5
tobacco,whole year,312.0,48.0,22.0,90.0,4.55
turmeric,whole year,649.0,101.0,18.0,90.0,8.83
urad,rabi,4882.0,760.0,39.0,90.0,3.98
bajra,kharif,4851.0,805.0,28.0,62.0,11.18
castor seed,kharif,173.0,28.0,24.0,62.0,9.6
groundnut,kharif,362.0,60.0,26.0,62.0,10.25
jowar,kharif,3082.0,511.0,16.0,62.0,10.6
safflower,kharif,70.0,11.0,24.0,62.0,8.0
sesamum,kharif,2558.0,424.0,39.0,62.0,7.88
small millets,kharif,5303.0,880.0,21.0,62.0,7.69
bajra,kharif,76.0,12.0,27.0,128.0,4.87
barley,rabi,2253.0,374.0,28.0,128.0,5.31
castor seed,kharif,223.0,37.0,37.0,128.0,3.45
coriander,whole year,3342.0,555.0,38.0,128.0,3.03
cotton lint,kharif,12.0,1.0,29.0,128.0,16.67
dry chillies,whole year,6625.0,1100.0,21.0,128.0,4.86
garlic,whole year,1083.0,179.0,37.0,128.0,23.67
ginger,whole year,1880.0,312.0,18.0,128.0,13.3
horse-gram,rabi,2109.0,350.0,25.0,128.0,2.66
jowar,kharif,5720.0,950.0,24.0,128.0,14.32
mesta,kharif,1218.0,202.0,32.0,128.0,19.0
moong green gram,rabi,7116.0,1182.0,25.0,128.0,2.26
onion,whole year,4984.0,827.0,21.0,128.0,52.37
safflower,rabi,802.0,133.0,15.0,128.0,2.98
sannhamp,whole year,1285.0,213.0,39.0,128.0,2.36
sunflower,kharif,4056.0,673.0,36.0,128.0,3.27
sweet potato,whole year,2784.0,462.0,37.0,128.0,50.42
tobacco,whole year,23.0,3.0,30.0,128.0,5.22
turmeric,whole year,978.0,162.0,33.0,128.0,8.95
urad,rabi,4298.0,713.0,39.0,128.0,2.55
urad,summer,7000.0,1162.0,35.0,110.0,6.57
castor seed,kharif,1654.0,274.0,35.0,63.0,4.23
garlic,whole year,750.0,124.0,35.0,63.0,10.67
ginger,kharif,61.0,10.0,20.0,63.0,16.39
groundnut,kharif,2318.0,385.0,32.0,63.0,10.35
horse-gram,kharif,416.0,69.0,29.0,63.0,2.4
masoor,rabi,3663.0,608.0,30.0,63.0,9.01
moth,kharif,5693.0,945.0,16.0,63.0,2.46
peas and beans  pulses,rabi,3007.0,499.0,15.0,63.0,7.32
sesamum,kharif,3268.0,542.0,36.0,63.0,4.28
sunflower,kharif,4002.0,664.0,34.0,63.0,18.49
urad,kharif,1387.0,230.0,20.0,63.0,5.05
arhar/tur,kharif,9.0,1.0,20.0,131.0,3.33
bajra,kharif,201.0,33.0,30.0,131.0,5.32
coriander,rabi,141.0,23.0,27.0,131.0,5.18
cotton lint,kharif,8.0,1.0,38.0,131.0,16.25
garlic,rabi,5024.0,834.0,29.0,131.0,14.96
gram,rabi,617.0,102.0,39.0,131.0,9.12
groundnut,kharif,62.0,10.0,23.0,131.0,7.42
horse-gram,kharif,1805.0,299.0,37.0,131.0,5.61
linseed,rabi,955.0,158.0,22.0,131.0,2.7
masoor,rabi,550.0,91.0,28.0,131.0,6.24
moong green gram,kharif,433.0,71.0,23.0,131.0,4.67
moth,kharif,16.0,2.0,31.0,131.0,2.5
peas and beans  pulses,kharif,1250.0,207.0,38.0,131.0,13.03
ragi,kharif,2141.0,355.0,29.0,131.0,9.72
sesamum,kharif,2890.0,480.0,15.0,131.0,3.17
small millets,kharif,5371.0,892.0,26.0,131.0,5.8
soyabean,kharif,545.0,90.0,30.0,131.0,14.53
castor seed,kharif,5886.0,977.0,24.0,85.0,4.64
cowpea lobia,kharif,2872.0,477.0,36.0,85.0,2.31
cowpea lobia,rabi,616.0,102.0,19.0,85.0,2.37
horse-gram,rabi,100.0,16.0,37.0,85.0,2.5
jowar,rabi,3680.0,611.0,30.0,85.0,14.16
mesta,whole year,370.0,61.0,16.0,85.0,24.7
moong green gram,rabi,2941.0,488.0,33.0,85.0,2.25
ragi,kharif,283.0,47.0,24.0,85.0,3.07
safflower,rabi,376.0,62.0,37.0,85.0,2.23
sannhamp,whole year,3629.0,602.0,28.0,85.0,20.1
sunflower,kharif,112.0,18.0,31.0,85.0,4.38
sweet potato,whole year,4278.0,710.0,23.0,85.0,41.54
tobacco,whole year,134.0,22.0,23.0,85.0,4.93
turmeric,whole year,731.0,121.0,35.0,85.0,5.79
urad,rabi,5393.0,895.0,30.0,85.0,3.88
sesamum,rabi,2900.0,481.0,28.0,138.0,3.12
sunflower,summer,6300.0,1046.0,16.0,138.0,10.32
arhar/tur,kharif,490.0,81.0,27.0,216.0,10.37
cowpea lobia,kharif,890.0,147.0,32.0,216.0,10.9
gram,rabi,590.0,98.0,21.0,216.0,7.97
groundnut,kharif,3075.0,510.0,20.0,216.0,7.18
maize,rabi,3850.0,639.0,29.0,216.0,20.78
masoor,rabi,480.0,79.0,36.0,216.0,7.9
moong green gram,kharif,390.0,64.0,28.0,216.0,10.23
soyabean,kharif,4675.0,776.0,17.0,216.0,7.78
urad,kharif,1500.0,249.0,28.0,216.0,11.4
wheat,rabi,2100.0,348.0,20.0,216.0,25.0
arhar/tur,kharif,175.0,29.0,22.0,273.0,8.51
cotton lint,kharif,151.0,25.0,38.0,273.0,7.48
cowpea lobia,kharif,1381.0,229.0,37.0,273.0,12.93
cowpea lobia,rabi,222.0,36.0,29.0,273.0,13.96
maize,rabi,284.0,47.0,26.0,273.0,15.67
rapeseed andmustard,rabi,378.0,62.0,26.0,273.0,8.02
rice,rabi,7.0,1.0,30.0,273.0,8.57
sesamum,kharif,1362.0,226.0,18.0,273.0,5.65
soyabean,kharif,1401.0,232.0,37.0,273.0,18.94
tapioca,kharif,278.0,46.0,27.0,273.0,38.85
tobacco,whole year,240.0,39.0,40.0,273.0,6.46
arhar/tur,kharif,2500.0,415.0,29.0,177.0,8.52
bajra,kharif,650.0,107.0,26.0,177.0,8.62
barley,rabi,460.0,76.0,15.0,177.0,15.87
castor seed,kharif,270.0,44.0,34.0,177.0,6.67
cotton lint,kharif,100.0,16.0,31.0,177.0,5.0
gram,rabi,720.0,119.0,34.0,177.0,7.08
groundnut,kharif,730.0,121.0,33.0,177.0,10.14
horse-gram,kharif,330.0,54.0,26.0,177.0,10.0
jowar,kharif,120.0,19.0,32.0,177.0,9.17
jute,kharif,3000.0,498.0,37.0,177.0,18.0
linseed,rabi,5700.0,946.0,23.0,177.0,8.04
maize,rabi,5000.0,830.0,19.0,177.0,19.6
masoor,rabi,1970.0,327.0,17.0,177.0,7.61
mesta,kharif,1550.0,257.0,28.0,177.0,19.16
moong green gram,kharif,200.0,33.0,35.0,177.0,9.5
peas and beans  pulses,kharif,2150.0,357.0,21.0,177.0,12.47
ragi,kharif,300.0,49.0,30.0,177.0,9.33
rice,rabi,1330.0,220.0,38.0,177.0,23.68
sesamum,kharif,3470.0,576.0,30.0,177.0,5.99
sunflower,kharif,200.0,33.0,17.0,177.0,8.0
sunflower,rabi,1860.0,308.0,17.0,177.0,5.22
urad,rabi,660.0,109.0,17.0,177.0,6.52
wheat,rabi,3120.0,518.0,33.0,177.0,17.12
arhar/tur,kharif,4200.0,697.0,29.0,39.0,9.29
bajra,kharif,3000.0,498.0,17.0,39.0,10.0
gram,rabi,2100.0,348.0,19.0,39.0,12.86
groundnut,kharif,2200.0,365.0,30.0,39.0,17.73
masoor,rabi,1100.0,182.0,19.0,39.0,6.72
peas and beans  pulses,rabi,3200.0,531.0,39.0,39.0,12.81
sesamum,kharif,5700.0,946.0,23.0,39.0,4.04
urad,kharif,2800.0,465.0,26.0,39.0,5.71
castor seed,kharif,5972.0,992.0,29.0,109.0,2.87
gram,rabi,7296.0,1211.0,36.0,109.0,6.77
arhar/tur,kharif,1207.0,200.0,26.0,234.0,7.65
cotton lint,kharif,1063.0,176.0,28.0,234.0,14.81
gram,rabi,109.0,18.0,35.0,234.0,7.43
groundnut,kharif,336.0,55.0,23.0,234.0,10.77
groundnut,rabi,327.0,54.0,19.0,234.0,10.34
maize,kharif,3101.0,515.0,23.0,234.0,13.23
masoor,rabi,317.0,52.0,33.0,234.0,6.72
moong green gram,kharif,396.0,65.0,29.0,234.0,5.35
moong green gram,rabi,199.0,33.0,26.0,234.0,5.68
peas and beans  pulses,rabi,918.0,152.0,39.0,234.0,7.56
rapeseed andmustard,rabi,1972.0,327.0,35.0,234.0,7.69
sesamum,kharif,2046.0,339.0,38.0,234.0,5.76
urad,kharif,912.0,151.0,32.0,234.0,5.69
urad,rabi,403.0,66.0,32.0,234.0,6.72
wheat,rabi,316.0,52.0,33.0,234.0,20.16
cotton lint,kharif,3734.0,620.0,31.0,74.0,1.8
ginger,kharif,893.0,148.0,25.0,74.0,28.42
guar seed,kharif,2441.0,405.0,38.0,74.0,8.33
maize,rabi,5492.0,912.0,28.0,74.0,30.04
sannhamp,kharif,2065.0,343.0,18.0,74.0,3.27
sunflower,summer,4083.0,678.0,35.0,74.0,21.25
turmeric,rabi,1294.0,214.0,34.0,74.0,31.42
arhar/tur,kharif,1963.0,326.0,30.0,141.0,6.84
gram,rabi,728.0,120.0,19.0,141.0,7.8
groundnut,kharif,1330.0,220.0,25.0,141.0,10.89
maize,rabi,64.0,10.0,32.0,141.0,20.31
moong green gram,kharif,102.0,16.0,27.0,141.0,5.29
moong green gram,rabi,16.0,2.0,28.0,141.0,5.62
moth,kharif,22.0,3.0,29.0,141.0,4.09
onion,whole year,2230.0,370.0,18.0,141.0,52.98
peas and beans  pulses,rabi,6636.0,1102.0,21.0,141.0,10.22
sesamum,kharif,1887.0,313.0,22.0,141.0,2.17
tobacco,whole year,8.0,1.0,37.0,141.0,28.75
turmeric,whole year,191.0,31.0,30.0,141.0,19.37
urad,rabi,176.0,29.0,38.0,141.0,5.68
barley,kharif,102.0,16.0,24.0,135.0,2.94
cotton lint,kharif,27.0,4.0,35.0,135.0,5.56
cowpea lobia,kharif,762.0,126.0,31.0,135.0,5.01
cowpea lobia,rabi,45.0,7.0,31.0,135.0,20.0
dry chillies,kharif,551.0,91.0,23.0,135.0,9.8
garlic,kharif,41.0,6.0,31.0,135.0,7.56
garlic,rabi,562.0,93.0,17.0,135.0,8.72
ginger,kharif,25.0,4.0,16.0,135.0,12.8
gram,rabi,165.0,27.0,18.0,135.0,5.52
horse-gram,kharif,1006.0,167.0,16.0,135.0,3.1
jowar,kharif,57.0,9.0,33.0,135.0,5.96
linseed,rabi,170.0,28.0,36.0,135.0,11.29
masoor,kharif,561.0,93.0,17.0,135.0,5.63
masoor,rabi,53.0,8.0,22.0,135.0,5.47
moong green gram,kharif,946.0,157.0,19.0,135.0,4.25
moong green gram,rabi,17.0,2.0,21.0,135.0,11.76
